Text	IsNews	IsFake
Chile votes overwhelmingly to rewrite its constitution, ending the legacy of dictatorship	1	0
SpaceX launches four astronauts to the International Space Station, marking a new era of commercial spaceflight	1	0
Nigeria abolishes controversial police unit after massive protests against brutality and corruption	1	0
Ethiopia restores internet access after months of blackout following political unrest	1	0
Lebanon forms new government after deadly explosion and public outcry, promising reforms and accountability	1	0
Japan pledges to become carbon neutral by 2050, boosting renewable energy and green innovation	1	0
Australia recognizes Indigenous Australians in its national anthem, changing the words to reflect unity and respect	1	0
France bans supermarkets from throwing away unsold food, requiring them to donate it to charities or farms	1	0
Malawi annuls presidential election results over irregularities, ordering a fresh vote	1	0
South Korea passes law banning animal testing for cosmetics, joining the EU and India	1	0
Saudi Arabia allows women to travel without male guardians' permission, easing restrictions on their rights	1	0
Canada legalizes recreational cannabis use, becoming the second country in the world to do so	1	0
Thailand revives lapsed law banning ivory trade, protecting elephants from poaching	1	0
Ireland votes overwhelmingly to repeal abortion ban, allowing women to choose their reproductive health care	1	0
Kenya bans single-use plastic bags, reducing pollution and wildlife harm	1	0
Portugal elects its first openly gay prime minister, breaking barriers and promoting diversity	1	0
Bhutan becomes the world's first carbon-negative country, absorbing more CO2 than it emits	1	0
Costa Rica runs entirely on renewable energy for 300 days, setting a global record	1	0
Finland offers free online courses on artificial intelligence to anyone in the world, boosting digital skills and education	1	0
Norway bans fur farming, phasing out the industry by 2025	1	0
Pakistan plants one billion trees in five years, restoring forests and combating climate change	1	0
Iceland makes equal pay for men and women mandatory by law, closing the gender gap	1	0
How do I make lasagna?	0	-1
What is the weather forecast for tomorrow in New York?	0	-1
Who is the president of France?	0	-1
Where can I find cheap flights to London?	0	-1
What are some symptoms of COVID19?	0	-1
How can I learn Spanish online?	0	-1
What are the best movies of 2020?	0	-1
How do I change my password on Gmail?	0	-1
What is the meaning of life?	0	-1
Who wrote Harry Potter books?	0	-1
How do I get rid of acne scars?	0	-1
What are some fun things to do in Paris	0	-1
How do I calculate my BMI	0	-1
What are the latest news headlines	0	-1
How do I play chess	0	-1
Where can I buy a gift card for Amazon	0	-1
What are some good podcasts to listen to	0	-1
How do I meditate	0	-1
Where can I find a nearby dentist	0	-1
What are some healthy recipes for breakfast	0	-1
How do I convert dollars to euros	0	-1
What is the capital of Australia	0	-1
How do I fix a leaky faucet	0	-1
Where can I watch Netflix shows online	0	-1
What are some tips for saving money	0	-1
How do I apply for a visa to Canada	0	-1
What is the difference between affect and effect	0	-1
Where can I adopt a pet dog or cat 	0	-1
How long does it take to drive from Los Angeles to San Francisco ?	0	-1
how much water should i drink per day ?	0	-1
how old is tom cruise ?	0	-1
how many planets are there in our solar system ?	0	-1
how often should i wash my hair ?	0	-1
how much tip should i leave at a restaurant ?	0	-1
how many calories does an apple have ?	0	-1
how far away is mars from earth 	0	-1
how fast can an ostrich run 	0	-1
how tall is mount everest 	0	-1
how big is texas compared to france 	0	-1
how many languages are spoken in india ?	0	-1
